natu,psychic,flying
xatu,psychic,flying
mareep,electric,
flaaffy,electric,
ampharos,electric,
bellossom,grass,
marill,water,fairy
azumarill,water,fairy
sudowoodo,rock,
politoed,water,
hoppip,grass,flying
skiploom,grass,flying
jumpluff,grass,flying
aipom,normal,
sunkern,grass,
sunflora,grass,
yanma,bug,flying
wooper,water,ground
quagsire,water,ground
espeon,psychic,
umbreon,dark,
murkrow,dark,flying
slowking,water,psychic
misdreavus,ghost,
unown,psychic,
wobbuffet,psychic,
girafarig,normal,psychic
pineco,bug,
forretress,bug,steel
dunsparce,normal,
gligar,ground,flying
steelix,steel,ground
snubbull,fairy,
granbull,fairy,
qwilfish,water,poison
scizor,bug,steel
shuckle,bug,rock
heracross,bug,fighting
sneasel,dark,ice
teddiursa,normal,
ursaring,normal,
slugma,fire,
magcargo,fire,rock
swinub,ice,ground
piloswine,ice,ground
corsola,water,rock
remoraid,water,
octillery,water,
delibird,ice,flying
mantine,water,flying
skarmory,steel,flying
houndour,dark,fire
houndoom,dark,fire
kingdra,water,dragon
phanpy,ground,
donphan,ground,
porygon2,normal,
stantler,normal,
smeargle,normal,
tyrogue,fighting,
hitmontop,fighting,
smoochum,ice,psychic
elekid,electric,
magby,fire,
miltank,normal,
blissey,normal,
raikou,electric,
entei,fire,
suicune,water,
larvitar,rock,ground
pupitar,rock,ground
tyranitar,rock,dark
lugia,psychic,flying
ho_oh,fire,flying
celebi,psychic,grass
treecko,grass,
grovyle,grass,
sceptile,grass,
torchic,fire,
combusken,fire,fighting
blaziken,fire,fighting
mudkip,water,
marshtomp,water,ground
swampert,water,ground
poochyena,dark,
mightyena,dark,
zigzagoon,normal,
linoone,normal,
wurmple,bug,
silcoon,bug,
beautifly,bug,flying
cascoon,bug,
dustox,bug,poison
lotad,water,grass
lombre,water,grass
ludicolo,water,grass
seedot,grass,
nuzleaf,grass,dark
shiftry,grass,dark
taillow,normal,flying
swellow,normal,flying
wingull,water,flying
pelipper,water,flying
ralts,psychic,fairy
kirlia,psychic,fairy
gardevoir,psychic,fairy
surskit,bug,water
masquerain,bug,flying
shroomish,grass,
breloom,grass,fighting
slakoth,normal,
vigoroth,normal,
slaking,normal,
nincada,bug,ground
ninjask,bug,flying
shedinja,bug,ghost
whismur,normal,
loudred,normal,
exploud,normal,
makuhita,fighting,
hariyama,fighting,
azurill,normal,fairy
nosepass,rock,
skitty,normal,
delcatty,normal,
sableye,dark,ghost
mawile,steel,fairy
aron,steel,rock
lairon,steel,rock
aggron,steel,rock
meditite,fighting,psychic
medicham,fighting,psychic
electrike,electric,
manectric,electric,
plusle,electric,
minun,electric,
volbeat,bug,
illumise,bug,
roselia,grass,poison
gulpin,poison,
swalot,poison,
carvanha,water,dark
sharpedo,water,dark
wailmer,water,
wailord,water,
numel,fire,ground
camerupt,fire,ground
torkoal,fire,
spoink,psychic,
grumpig,psychic,
spinda,normal,
trapinch,ground,
vibrava,ground,dragon
flygon,ground,dragon
cacnea,grass,
cacturne,grass,dark
swablu,normal,flying
altaria,dragon,flying
zangoose,normal,
seviper,poison,
lunatone,rock,psychic
solrock,rock,psychic
barboach,water,ground
whiscash,water,ground
corphish,water,
crawdaunt,water,dark
baltoy,ground,psychic
claydol,ground,psychic
lileep,rock,grass
cradily,rock,grass
anorith,rock,bug
armaldo,rock,bug
feebas,water,
milotic,water,
castform,normal,
kecleon,normal,
shuppet,ghost,
banette,ghost,
duskull,ghost,
dusclops,ghost,
tropius,grass,flying
chimecho,psychic,
absol,dark,
wynaut,psychic,
snorunt,ice,
glalie,ice,
spheal,ice,water
sealeo,ice,water
walrein,ice,water
clamperl,water,
huntail,water,
gorebyss,water,
relicanth,water,rock
luvdisc,water,
bagon,dragon,
shelgon,dragon,
salamence,dragon,flying
beldum,steel,psychic
metang,steel,psychic
metagross,steel,psychic
regirock,rock,
regice,ice,
registeel,steel,
latias,dragon,psychic
latios,dragon,psychic
kyogre,water,
groudon,ground,
rayquaza,dragon,flying
jirachi,steel,psychic
deoxys,psychic,
